algorithm,mode,patient_id,clean_prob,adv_prob,success,confidence_drop,efficiency,l2_norm,linf_norm,l0_norm,param_use_torchattacks,param_epsilon,param_num_steps,param_alpha
fgsm,lesion,bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,0.5225,0.5156,0.0,0.006836,0.0052663806777846,1.2980332918530628,0.0078431372549019,27390,False,0.0078431372549019,,
fgsm,lesion,f92ddac9-aba6-4607-ba72-6ab7e8776fef,0.52,0.5137,0.0,0.006348,0.0050282286560766,1.2624040460146038,0.007843137254902,25907,False,0.0078431372549019,,
fgsm,lesion,7f9623a6-510f-4e84-8e58-12b65a5e9dfc,0.521,0.514,0.0,0.006836,0.0073314703748798,0.932410154736162,0.007843137254902,14133,False,0.0078431372549019,,
fgsm,lesion,051e6e97-fda7-4b5c-8d5f-084bf3607d22,0.5,0.498,1.0,0.001953,0.0046769602820108,0.4176056317482057,0.0078431372549019,2835,False,0.0078431372549019,,
fgsm,lesion,5acc56a4-1b6e-4394-9364-9772047d583f,0.5107,0.5024,0.0,0.0083,0.0098623025306451,0.8416676659009361,0.007843137254902,11516,False,0.0078431372549019,,
fgsm,lesion,ad4d16e5-a851-4327-b9fe-5977da445669,0.512,0.508,0.0,0.004395,0.0048121697542578,0.913212007533605,0.0078431372549019,13557,False,0.0078431372549019,,
fgsm,lesion,96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,0.515,0.5103,0.0,0.004883,0.007412987775638,0.6586834584992765,0.0078431372549019,7053,False,0.0078431372549019,,
fgsm,lesion,33a39200-fa81-4530-ae1e-274ca204f3ea,0.5103,0.5063,0.0,0.003906,0.0056148484351275,0.6956999799697714,0.007843137254902,7868,False,0.0078431372549019,,
fgsm,lesion,72848196-fd24-4106-9c33-9c29b7a66a04,0.5195,0.519,0.0,0.0004883,0.0010454682724905,0.4670454880300946,0.007843137254902,3546,False,0.0078431372549019,,
fgsm,lesion,abcb43a2-7b1d-428a-b909-e54c92acbd5b,0.516,0.513,0.0,0.00293,0.0049077192581627,0.5969549798615794,0.0078431372549019,5793,False,0.0078431372549019,,
fgsm,lesion,9954f203-ec80-45ce-85a6-fb155368370f,0.5083,0.5015,0.0,0.006836,0.0130817452428763,0.5225554574153654,0.007843137254902,4439,False,0.0078431372549019,,
fgsm,lesion,bf7b0977-4f77-45a7-8c03-77602f82b905,0.517,0.514,0.0,0.00293,0.0044101238922724,0.6643095585210818,0.007843137254902,7174,False,0.0078431372549019,,
fgsm,lesion,c34a3ea0-04d7-4df6-afab-0d7c7280b749,0.5103,0.4998,1.0,0.0105,0.0091285008145371,1.1500296704796087,0.007843137254902,21500,False,0.0078431372549019,,
fgsm,lesion,e2bc24a7-e469-48e2-9d5a-6ffc8557d59e,0.5186,0.5156,0.0,0.00293,0.0065623436302119,0.4464391990825914,0.0078431372549019,3240,False,0.0078431372549019,,
fgsm,lesion,175c8be2-76a4-469b-9595-ed33ecedb3cb,0.5225,0.5205,0.0,0.001953,0.002842503613153,0.6871143320758845,0.007843137254902,7675,False,0.0078431372549019,,
fgsm,lesion,bcaf0768-3841-4280-8de4-57e822f38c7a,0.5205,0.516,0.0,0.004395,0.0046632023273195,0.9423848452001332,0.007843137254902,14437,False,0.0078431372549019,,
fgsm,lesion,6e73017c-4e3a-499b-a597-4a797bb179de,0.5244,0.524,0.0,0.0004883,0.0010142027326879,0.4814434275520839,0.007843137254902,3768,False,0.0078431372549019,,
fgsm,lesion,dc995045-8ec6-4cef-ba20-350c66732a9b,0.521,0.518,0.0,0.00293,0.0041250056766492,0.7102262853441038,0.0078431372549019,8200,False,0.0078431372549019,,
fgsm,lesion,bfbea630-4c43-485f-b1b2-0e5715109ae3,0.4983,0.4907,1.0,0.00757,0.0062711702324183,1.2068496041080512,0.007843137254902,23677,False,0.0078431372549019,,
fgsm,lesion,4a567c8b-ab4e-4c3a-a053-9a23b087545a,0.524,0.512,0.0,0.01172,0.0090724087512458,1.2916911297307516,0.007843137254902,27123,False,0.0078431372549019,,
fgsm,lesion,0983ae59-b906-4fd5-a810-edfe0580fe3b,0.5156,0.5127,0.0,0.00293,0.0033422033771983,0.8765736659131268,0.007843137254902,12491,False,0.0078431372549019,,
fgsm,lesion,e15ecf55-b05a-4f6f-bb25-d51d4a438963,0.505,0.505,0.0,0.0,0.0,0.2486410585748607,0.0078431372549019,1005,False,0.0078431372549019,,
fgsm,lesion,747b1c03-c554-41ea-9d57-7b54894985f3,0.5103,0.505,0.0,0.00537,0.0046426230967796,1.1569092712478528,0.007843137254902,21758,False,0.0078431372549019,,
fgsm,lesion,87e4af8b-1110-481d-86de-f315ca03936d,0.5186,0.514,0.0,0.004395,0.0048300164617848,0.9098377275666436,0.007843137254902,13457,False,0.0078431372549019,,
fgsm,lesion,878ae8b8-f206-4d82-8099-3a56f89bb9c4,0.5117,0.5054,0.0,0.006348,0.0110576478260727,0.5740512122710609,0.007843137254902,5357,False,0.0078431372549019,,
fgsm,lesion,72a10e64-2d93-4b61-8b90-8efef7284ced,0.5195,0.509,0.0,0.01074,0.0099196396214693,1.0829211353156396,0.007843137254902,19064,False,0.0078431372549019,,
fgsm,lesion,04e6f392-a196-447f-9b75-f5af995a36d0,0.5186,0.517,0.0,0.001465,0.0044095092173268,0.3322010758360358,0.007843137254902,1794,False,0.0078431372549019,,
fgsm,lesion,5a8415b5-f658-4d37-8144-1aa22420f84f,0.518,0.5117,0.0,0.006348,0.0068527929574512,0.9262874598553388,0.007843137254902,13948,False,0.0078431372549019,,
fgsm,lesion,2c376b9a-167a-43d3-bcc2-b4af32fb9f74,0.507,0.5054,0.0,0.001465,0.0045566621861719,0.3214729652065749,0.0078431372549019,1680,False,0.0078431372549019,,
fgsm,lesion,e6295ee0-bb33-49e3-9376-8b78f5a3fc52,0.5166,0.5156,0.0,0.000977,0.002036256513378,0.4795871606654214,0.007843137254902,3739,False,0.0078431372549019,,
fgsm,lesion,780579a3-2dcc-4343-9c92-de8be54e2865,0.5146,0.508,0.0,0.006836,0.0069838392752511,0.9788222724979252,0.007843137254902,15575,False,0.0078431372549019,,
fgsm,lesion,228b3dc1-f78a-4ac9-b213-2a416583d063,0.521,0.517,0.0,0.003906,0.0050657857550348,0.7711044521493534,0.007843137254902,9666,False,0.0078431372549019,,
fgsm,lesion,3a010152-9ce2-4780-bdd8-bac6fa101991,0.504,0.4988,1.0,0.005127,0.0135133053836768,0.3794003646258124,0.007843137254902,2340,False,0.0078431372549019,,
fgsm,lesion,9b6f8882-b59f-4a4d-8f48-b3f355fd70b9,0.516,0.5127,0.0,0.003418,0.0036001035542746,0.9494084440822677,0.007843137254902,14653,False,0.0078431372549019,,
fgsm,lesion,d99282ee-dc00-40d4-bb8d-5f8dba263a05,0.515,0.512,0.0,0.00293,0.0050500783720252,0.5801271254973229,0.007843137254902,5471,False,0.0078431372549019,,
fgsm,lesion,1748e4e2-5c73-4794-81fe-2c5fe4af8cdd,0.52,0.5176,0.0,0.002441,0.0030341648939636,0.8046386089679594,0.007843137254902,10525,False,0.0078431372549019,,
fgsm,lesion,095edab1-09c6-4f83-931e-f0a33b77639c,0.4946,0.4924,1.0,0.002197,0.0030933770393895,0.710312893025097,0.007843137254902,8202,False,0.0078431372549019,,
fgsm,lesion,fd147f16-7eeb-474f-98df-c3b0c39c163c,0.5195,0.5166,0.0,0.00293,0.0028233376937084,1.03766810406532,0.0078431372549019,17504,False,0.0078431372549019,,
fgsm,lesion,f1ba6a94-27b8-4537-8a11-6c4dbc3fe428,0.5176,0.5146,0.0,0.00293,0.0038500595577832,0.7609460107121594,0.0078431372549019,9413,False,0.0078431372549019,,
fgsm,lesion,bc7b5348-574e-49a2-a20a-719d942a9c31,0.5166,0.509,0.0,0.007812,0.0087477668932417,0.8930850590632521,0.007843137254902,12966,False,0.0078431372549019,,
fgsm,lesion,35ffa64a-fc84-4582-95ad-40d4eab93197,0.5137,0.512,0.0,0.001465,0.00283829498989,0.5160998863172376,0.0078431372549019,4330,False,0.0078431372549019,,
fgsm,lesion,0c89ca38-27ca-4cd0-88cb-18093fdcb04b,0.512,0.5093,0.0,0.00293,0.0046150634501134,0.6348097887532568,0.007843137254902,6551,False,0.0078431372549019,,
fgsm,lesion,e5e4f0cf-58ec-4442-a54c-96d5d29d8f0b,0.516,0.5156,0.0,0.0004883,0.0012958726342613,0.3767972439047611,0.0078431372549019,2308,False,0.0078431372549019,,
fgsm,lesion,ae9439c0-31a2-4b2a-946e-f9f497109c42,0.511,0.509,0.0,0.002441,0.0033613044050654,0.7263270213515356,0.007843137254902,8576,False,0.0078431372549019,,
fgsm,lesion,975aac17-f7e4-4b6c-a669-e73b0bb5caef,0.515,0.512,0.0,0.00293,0.0037891607486893,0.7731758181865978,0.007843137254902,9718,False,0.0078431372549019,,
fgsm,lesion,bee78c8a-8a21-49b3-b1d5-93c93ccf300c,0.508,0.5034,0.0,0.004395,0.0060507007087947,0.7262846736255665,0.007843137254902,8575,False,0.0078431372549019,,
fgsm,lesion,be9e9eea-96d0-43a3-801e-b39bfd209ca7,0.5205,0.519,0.0,0.001465,0.0032690864269262,0.4480896268889599,0.007843137254902,3264,False,0.0078431372549019,,
fgsm,lesion,32c41ed0-6704-465c-94d3-3073b9b4415e,0.5146,0.5054,0.0,0.00928,0.0098739914444039,0.9395737988529403,0.007843137254902,14351,False,0.0078431372549019,,
fgsm,lesion,0ca3f31a-ace5-4bd2-9900-b152cc212c8e,0.5156,0.513,0.0,0.002441,0.0036552857435138,0.6679111797974446,0.007843137254902,7252,False,0.0078431372549019,,
fgsm,lesion,32c3e235-1885-4aad-b4ad-2ef8583fbb78,0.508,0.5054,0.0,0.002441,0.0048290834919066,0.5055630547288835,0.007843137254902,4155,False,0.0078431372549019,,
fgsm,lesion,49b95513-daab-49bb-bc6e-c5254ab1bc07,0.5195,0.5083,0.0,0.01123,0.0085504325607826,1.313438657595548,0.007843137254902,28044,False,0.0078431372549019,,
fgsm,lesion,e7f182ac-e84e-4e0a-89f9-be61ea3c66c2,0.5107,0.5107,0.0,0.0,0.0,0.2975227723669112,0.007843137254902,1439,False,0.0078431372549019,,
fgsm,lesion,f42223b1-1a5b-45c2-a1d2-25c6df776484,0.5234,0.52,0.0,0.003418,0.0047903586005142,0.7135099868576659,0.0078431372549019,8276,False,0.0078431372549019,,
fgsm,lesion,3b75d0e1-a430-4d1e-a89e-672d25ca6953,0.5176,0.5127,0.0,0.004883,0.0056883730873153,0.8583847030013836,0.007843137254902,11978,False,0.0078431372549019,,
fgsm,lesion,963b58ae-2175-4aa5-90be-c37d44809c91,0.5103,0.5083,0.0,0.001953,0.0027672687033332,0.7057952015916248,0.007843137254902,8098,False,0.0078431372549019,,
fgsm,lesion,4206173d-0db2-4f32-80fb-0bd99d5532e1,0.5244,0.52,0.0,0.004395,0.0066533193866651,0.6605020634173203,0.0078431372549019,7092,False,0.0078431372549019,,
fgsm,lesion,b97b78b8-bcb0-4694-aa55-d3ca9c4396df,0.5244,0.52,0.0,0.004395,0.0036527588649973,1.2030718084303504,0.007843137254902,23529,False,0.0078431372549019,,
fgsm,lesion,9a4b8ac5-0371-4bc0-a609-32ad46806f7c,0.5195,0.518,0.0,0.001465,0.0026508526814588,0.5525934103155568,0.007843137254902,4964,False,0.0078431372549019,,
fgsm,lesion,3ef164d4-0e03-4695-bc05-bad84b526960,0.499,0.497,1.0,0.001953,0.0042032638842552,0.464668650779561,0.0078431372549019,3510,False,0.0078431372549019,,
fgsm,lesion,bc6dd946-0b3f-445f-8d78-3cc39a0b14ae,0.523,0.5205,0.0,0.002441,0.0037062311556668,0.6587301521128109,0.007843137254902,7054,False,0.0078431372549019,,
